Date : 2025-09-13 12:10:57
Directory : /home/moura/projetos/chatwoot/chatwoot
Total : 6224 files,  752144 codes, 10822 comments, 45132 blanks, all 808098 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app/builders/messages/instagram                                                                                                                              |          3 |        191 |         11 |         56 |        258 |
| app/builders/messages/instagram (Files)                                                                                                                      |          2 |        163 |         10 |         51 |        224 |
| app/builders/messages/instagram/messenger                                                                                                                    |          1 |         28 |          1 |          5 |         34 |
| app/builders/messages/messenger                                                                                                                              |          1 |         64 |          1 |         16 |         81 |
| app/builders/v2                                                                                                                                              |         13 |        584 |         13 |        133 |        730 |
| app/builders/v2 (Files)                                                                                                                                      |          1 |        118 |          1 |         20 |        139 |
| app/builders/v2/reports                                                                                                                                      |         12 |        466 |         12 |        113 |        591 |
| app/builders/v2/reports (Files)                                                                                                                              |          6 |        264 |          8 |         67 |        339 |
| app/builders/v2/reports/conversations                                                                                                                        |          3 |         67 |          0 |         17 |         84 |
| app/builders/v2/reports/timeseries                                                                                                                           |          3 |        135 |          4 |         29 |        168 |
| app/channels                                                                                                                                                 |          3 |         50 |          2 |         14 |         66 |
| app/channels (Files)                                                                                                                                         |          1 |         46 |          2 |         12 |         60 |
| app/channels/application_cable                                                                                                                               |          2 |          4 |          0 |          2 |          6 |
| app/controllers                                                                                                                                              |        159 |      5,715 |        393 |      1,538 |      7,646 |
| app/controllers (Files)                                                                                                                                      |         13 |        405 |         11 |        109 |        525 |
| app/controllers/api                                                                                                                                          |         83 |      3,509 |         54 |        915 |      4,478 |
| app/controllers/api (Files)                                                                                                                                  |          1 |         18 |          0 |          6 |         24 |
| app/controllers/api/v1                                                                                                                                       |         78 |      3,238 |         54 |        845 |      4,137 |
| app/controllers/api/v1 (Files)                                                                                                                               |          4 |        202 |          4 |         51 |        257 |
| app/controllers/api/v1/accounts                                                                                                                              |         62 |      2,623 |         43 |        690 |      3,356 |
| app/controllers/api/v1/accounts (Files)                                                                                                                      |         33 |      1,738 |         27 |        469 |      2,234 |
| app/controllers/api/v1/accounts/actions                                                                                                                      |          1 |         22 |          0 |          6 |         28 |
| app/controllers/api/v1/accounts/assignment_policies                                                                                                          |          1 |         16 |          0 |          5 |         21 |
| app/controllers/api/v1/accounts/channels                                                                                                                     |          1 |         56 |          2 |         13 |         71 |
| app/controllers/api/v1/accounts/contacts                                                                                                                     |          5 |         71 |          2 |         23 |         96 |
| app/controllers/api/v1/accounts/conversations                                                                                                                |          7 |        179 |          3 |         49 |        231 |
| app/controllers/api/v1/accounts/google                                                                                                                       |          1 |         21 |          0 |          3 |         24 |
| app/controllers/api/v1/accounts/inboxes                                                                                                                      |          1 |         34 |          3 |         10 |         47 |
| app/controllers/api/v1/accounts/instagram                                                                                                                    |          1 |         21 |          1 |          2 |         24 |
| app/controllers/api/v1/accounts/integrations                                                                                                                 |          7 |        336 |          2 |         82 |        420 |
| app/controllers/api/v1/accounts/microsoft                                                                                                                    |          1 |         18 |          0 |          2 |         20 |
| app/controllers/api/v1/accounts/notion                                                                                                                       |          1 |         19 |          0 |          3 |         22 |
| app/controllers/api/v1/accounts/twitter                                                                                                                      |          1 |         23 |          0 |          7 |         30 |
| app/controllers/api/v1/accounts/whatsapp                                                                                                                     |          1 |         69 |          3 |         16 |         88 |
| app/controllers/api/v1/integrations                                                                                                                          |          1 |         11 |          2 |          3 |         16 |
| app/controllers/api/v1/widget                                                                                                                                |         11 |        402 |          5 |        101 |        508 |
| app/controllers/api/v1/widget (Files)                                                                                                                        |         10 |        373 |          5 |         93 |        471 |
| app/controllers/api/v1/widget/integrations                                                                                                                   |          1 |         29 |          0 |          8 |         37 |
| app/controllers/api/v2                                                                                                                                       |          4 |        253 |          0 |         64 |        317 |
| app/controllers/api/v2 (Files)                                                                                                                               |          1 |         55 |          0 |         15 |         70 |
| app/controllers/api/v2/accounts                                                                                                                              |          3 |        198 |          0 |         49 |        247 |
| app/controllers/concerns                                                                                                                                     |         15 |        345 |          9 |         91 |        445 |
| app/controllers/devise_overrides                                                                                                                             |          5 |        168 |         12 |         43 |        223 |
| app/controllers/google                                                                                                                                       |          1 |         18 |          3 |          7 |         28 |
| app/controllers/instagram                                                                                                                                    |          1 |        116 |         18 |         30 |        164 |
| app/controllers/installation                                                                                                                                 |          1 |         36 |          0 |          8 |         44 |
| app/controllers/linear                                                                                                                                       |          1 |         60 |          1 |         13 |         74 |
| app/controllers/microsoft                                                                                                                                    |          1 |         13 |          0 |          5 |         18 |
| app/controllers/notion                                                                                                                                       |          1 |         30 |          0 |          7 |         37 |
| app/controllers/platform                                                                                                                                     |          4 |        137 |          6 |         43 |        186 |
| app/controllers/platform/api                                                                                                                                 |          4 |        137 |          6 |         43 |        186 |
| app/controllers/platform/api/v1                                                                                                                              |          4 |        137 |          6 |         43 |        186 |
| app/controllers/public                                                                                                                                       |          9 |        347 |          8 |        108 |        463 |
| app/controllers/public/api                                                                                                                                   |          9 |        347 |          8 |        108 |        463 |
| app/controllers/public/api/v1                                                                                                                                |          9 |        347 |          8 |        108 |        463 |
| app/controllers/public/api/v1 (Files)                                                                                                                        |          3 |         66 |          1 |         26 |         93 |
| app/controllers/public/api/v1/inboxes                                                                                                                        |          3 |        149 |          5 |         39 |        193 |
| app/controllers/public/api/v1/portals                                                                                                                        |          3 |        132 |          2 |         43 |        177 |
| app/controllers/shopify                                                                                                                                      |          1 |         58 |          0 |         15 |         73 |
| app/controllers/super_admin                                                                                                                                  |         13 |        266 |        266 |         94 |        626 |
| app/controllers/super_admin (Files)                                                                                                                          |         12 |        240 |        265 |         86 |        591 |
| app/controllers/super_admin/devise                                                                                                                           |          1 |         26 |          1 |          8 |         35 |
| app/controllers/survey                                                                                                                                       |          1 |          8 |          0 |          3 |         11 |
| app/controllers/twilio                                                                                                                                       |          2 |         52 |          0 |          8 |         60 |
| app/controllers/twitter                                                                                                                                      |          2 |         61 |          0 |         17 |         78 |
| app/controllers/webhooks                                                                                                                                     |          5 |         86 |          5 |         22 |        113 |
| app/dashboards                                                                                                                                               |          7 |        313 |        221 |         57 |        591 |
| app/dispatchers                                                                                                                                              |          4 |         61 |          0 |         15 |         76 |
| app/drops                                                                                                                                                    |          7 |         94 |          0 |         26 |        120 |
| app/fields                                                                                                                                                   |          4 |         28 |          0 |         11 |         39 |
| app/finders                                                                                                                                                  |          4 |        259 |         12 |         69 |        340 |
| app/helpers                                                                                                                                                  |         32 |      1,063 |        108 |        258 |      1,429 |
| app/helpers (Files)                                                                                                                                          |         16 |        458 |         42 |        128 |        628 |
| app/helpers/api                                                                                                                                              |          8 |        228 |         28 |         59 |        315 |
| app/helpers/api (Files)                                                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| app/helpers/api/v1                                                                                                                                           |          5 |        106 |          0 |         26 |        132 |
| app/helpers/api/v1 (Files)                                                                                                                                   |          4 |        104 |          0 |         25 |        129 |
| app/helpers/api/v1/widget                                                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| app/helpers/api/v2                                                                                                                                           |          2 |        120 |         28 |         32 |        180 |
| app/helpers/api/v2/accounts                                                                                                                                  |          2 |        120 |         28 |         32 |        180 |
| app/helpers/filters                                                                                                                                          |          1 |         82 |          5 |         20 |        107 |
| app/helpers/instagram                                                                                                                                        |          1 |         33 |          8 |          9 |         50 |
| app/helpers/linear                                                                                                                                           |          1 |         32 |          8 |          8 |         48 |
| app/helpers/shopify                                                                                                                                          |          1 |         41 |          8 |         10 |         59 |
| app/helpers/super_admin                                                                                                                                      |          4 |        189 |          9 |         24 |        222 |
| app/javascript                                                                                                                                               |      3,927 |    562,291 |      2,675 |     18,228 |    583,194 |
| app/javascript (Files)                                                                                                                                       |          1 |         27 |          0 |          4 |         31 |
| app/javascript/dashboard                                                                                                                                     |      3,503 |    520,025 |      2,205 |     15,859 |    538,089 |
| app/javascript/dashboard (Files)                                                                                                                             |          2 |        218 |          0 |         14 |        232 |
| app/javascript/dashboard/api                                                                                                                                 |        102 |      3,651 |        108 |        683 |      4,442 |
| app/javascript/dashboard/api (Files)                                                                                                                         |         40 |      1,074 |         49 |        270 |      1,393 |
| app/javascript/dashboard/api/captain                                                                                                                         |          9 |        142 |          7 |         42 |        191 |
| app/javascript/dashboard/api/channel                                                                                                                         |          8 |         89 |          6 |         32 |        127 |
| app/javascript/dashboard/api/enterprise                                                                                                                      |          2 |         76 |          1 |         16 |         93 |
| app/javascript/dashboard/api/enterprise (Files)                                                                                                              |          1 |         21 |          1 |          7 |         29 |
| app/javascript/dashboard/api/enterprise/specs                                                                                                                |          1 |         55 |          0 |          9 |         64 |
| app/javascript/dashboard/api/helpCenter                                                                                                                      |          3 |        112 |          3 |         29 |        144 |
| app/javascript/dashboard/api/inbox                                                                                                                           |          2 |        231 |          3 |         33 |        267 |
| app/javascript/dashboard/api/integrations                                                                                                                    |          4 |         97 |         39 |         32 |        168 |
| app/javascript/dashboard/api/specs                                                                                                                           |         34 |      1,830 |          0 |        229 |      2,059 |
| app/javascript/dashboard/api/specs (Files)                                                                                                                   |         25 |      1,174 |          0 |        146 |      1,320 |
| app/javascript/dashboard/api/specs/channel                                                                                                                   |          4 |         87 |          0 |         11 |         98 |
| app/javascript/dashboard/api/specs/helpCenter                                                                                                                |          1 |         11 |          0 |          2 |         13 |
| app/javascript/dashboard/api/specs/inbox                                                                                                                     |          2 |        292 |          0 |         27 |        319 |
| app/javascript/dashboard/api/specs/integrations                                                                                                              |          2 |        266 |          0 |         43 |        309 |
| app/javascript/dashboard/assets                                                                                                                              |         18 |      1,219 |         37 |        175 |      1,431 |
| app/javascript/dashboard/assets/images                                                                                                                       |         11 |        317 |          5 |          6 |        328 |
| app/javascript/dashboard/assets/images (Files)                                                                                                               |          8 |        220 |          5 |          3 |        228 |
| app/javascript/dashboard/assets/images/auth                                                                                                                  |          3 |         97 |          0 |          3 |        100 |
| app/javascript/dashboard/assets/scss                                                                                                                         |          7 |        902 |         32 |        169 |      1,103 |
| app/javascript/dashboard/assets/scss (Files)                                                                                                                 |          4 |        419 |         28 |         69 |        516 |
| app/javascript/dashboard/assets/scss/plugins                                                                                                                 |          2 |        288 |          2 |         82 |        372 |
| app/javascript/dashboard/assets/scss/super_admin                                                                                                             |          1 |        195 |          2 |         18 |        215 |
| app/javascript/dashboard/components                                                                                                                          |        169 |     19,699 |         35 |      1,714 |     21,448 |
| app/javascript/dashboard/components (Files)                                                                                                                  |         18 |      2,289 |          2 |        226 |      2,517 |
| app/javascript/dashboard/components-next                                                                                                                     |        351 |     37,160 |        288 |      3,813 |     41,261 |
| app/javascript/dashboard/components-next (Files)                                                                                                             |          5 |        181 |          0 |         20 |        201 |
| app/javascript/dashboard/components-next/Accordion                                                                                                           |          1 |         34 |          0 |          6 |         40 |
| app/javascript/dashboard/components-next/Campaigns                                                                                                           |         17 |      1,508 |          0 |        211 |      1,719 |
| app/javascript/dashboard/components-next/Campaigns (Files)                                                                                                   |          1 |         48 |          0 |          5 |         53 |
| app/javascript/dashboard/components-next/Campaigns/CampaignCard                                                                                              |          3 |        211 |          0 |         26 |        237 |
| app/javascript/dashboard/components-next/Campaigns/EmptyState                                                                                                |          4 |        314 |          0 |         14 |        328 |
| app/javascript/dashboard/components-next/Campaigns/Pages                                                                                                     |          9 |        935 |          0 |        166 |      1,101 |
| app/javascript/dashboard/components-next/Campaigns/Pages/CampaignPage                                                                                        |          9 |        935 |          0 |        166 |      1,101 |
| app/javascript/dashboard/components-next/Campaigns/Pages/CampaignPage (Files)                                                                                |          2 |         74 |          0 |         15 |         89 |
| app/javascript/dashboard/components-next/Campaigns/Pages/CampaignPage/LiveChatCampaign                                                                       |          3 |        390 |          0 |         64 |        454 |
| app/javascript/dashboard/components-next/Campaigns/Pages/CampaignPage/SMSCampaign                                                                            |          2 |        201 |          0 |         39 |        240 |
| app/javascript/dashboard/components-next/Campaigns/Pages/CampaignPage/WhatsAppCampaign                                                                       |          2 |        270 |          0 |         48 |        318 |
| app/javascript/dashboard/components-next/Contacts                                                                                                            |         38 |      3,870 |          0 |        432 |      4,302 |
| app/javascript/dashboard/components-next/Contacts (Files)                                                                                                    |          3 |        350 |          0 |         43 |        393 |
| app/javascript/dashboard/components-next/Contacts/ContactLabels                                                                                              |          1 |        116 |          0 |         21 |        137 |
| app/javascript/dashboard/components-next/Contacts/ContactsCard                                                                                               |          4 |        442 |          0 |         41 |        483 |
| app/javascript/dashboard/components-next/Contacts/ContactsCard (Files)                                                                                       |          2 |        233 |          0 |         32 |        265 |
| app/javascript/dashboard/components-next/Contacts/ContactsCard/story                                                                                         |          2 |        209 |          0 |          9 |        218 |
| app/javascript/dashboard/components-next/Contacts/ContactsForm                                                                                               |         11 |        955 |          0 |        126 |      1,081 |
| app/javascript/dashboard/components-next/Contacts/ContactsForm (Files)                                                                                       |          8 |        767 |          0 |        111 |        878 |
| app/javascript/dashboard/components-next/Contacts/ContactsForm/story                                                                                         |          3 |        188 |          0 |         15 |        203 |
| app/javascript/dashboard/components-next/Contacts/ContactsHeader                                                                                             |          6 |        741 |          0 |         77 |        818 |
| app/javascript/dashboard/components-next/Contacts/ContactsHeader (Files)                                                                                     |          2 |        412 |          0 |         31 |        443 |
| app/javascript/dashboard/components-next/Contacts/ContactsHeader/components                                                                                  |          3 |        234 |          0 |         34 |        268 |
| app/javascript/dashboard/components-next/Contacts/ContactsHeader/story                                                                                       |          1 |         95 |          0 |         12 |        107 |
| app/javascript/dashboard/components-next/Contacts/ContactsSidebar                                                                                            |          8 |        700 |          0 |         81 |        781 |
| app/javascript/dashboard/components-next/Contacts/ContactsSidebar (Files)                                                                                    |          5 |        491 |          0 |         70 |        561 |
| app/javascript/dashboard/components-next/Contacts/ContactsSidebar/components                                                                                 |          3 |        209 |          0 |         11 |        220 |
| app/javascript/dashboard/components-next/Contacts/ContactsSidebar/components (Files)                                                                         |          1 |        104 |          0 |          6 |        110 |
| app/javascript/dashboard/components-next/Contacts/ContactsSidebar/components/story                                                                           |          2 |        105 |          0 |          5 |        110 |
| app/javascript/dashboard/components-next/Contacts/EmptyState                                                                                                 |          3 |        314 |          0 |         11 |        325 |
| app/javascript/dashboard/components-next/Contacts/Pages                                                                                                      |          2 |        252 |          0 |         32 |        284 |
| app/javascript/dashboard/components-next/Conversation                                                                                                        |          8 |      1,198 |          0 |         93 |      1,291 |
| app/javascript/dashboard/components-next/Conversation (Files)                                                                                                |          1 |         78 |          0 |         10 |         88 |
| app/javascript/dashboard/components-next/Conversation/ConversationCard                                                                                       |          7 |      1,120 |          0 |         83 |      1,203 |
